Customer ID,Gender,Age,Married,Number of Dependents,City,Latitude,Longitude,Number of Referrals,Tenure in Months,Offer,Phone Service,Multiple Lines,Internet Service,Internet Type,Avg Monthly GB Download,Online Security,Online Backup,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Payment Method,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Revenue,Customer Status,Churn Reason
0334-GDDSO,Male,77,No,0,San Diego,32.85723,-117.209774,0,3,Offer E,Yes,Yes,Yes,Fiber Optic,14.0,No,Yes,No,No,No,Yes,Month-to-Month,Bank Withdrawal,81.35,233.7,0.0,0,261.36,Churned,Competitor made better offer
0354-WYROK,Female,70,Yes,0,San Francisco,37.820894,-122.369725,1,31,Offer C,Yes,No,Yes,Fiber Optic,21.0,No,No,Yes,Yes,No,Yes,Month-to-Month,Bank Withdrawal,98.9,2911.3,0.0,0,4397.75,Churned,Don't know
0363-QJVFX,Male,22,No,0,Lake Hughes,34.659579,-118.584212,0,32,Offer C,Yes,Yes,Yes,Fiber Optic,73.0,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Credit Card,108.15,3432.9,0.0,0,4318.98,Churned,Attitude of service provider
0378-XSZPU,Male,31,Yes,0,San Jose,37.311088,-121.961786,1,58,Offer B,Yes,No,Yes,Cable,21.0,Yes,Yes,No,No,No,Yes,One Year,Credit Card,60.3,3563.8,0.0,0,4562.56,Churned,Network reliability
0390-DCFDQ,Female,76,Yes,2,Los Alamitos,33.79499,-118.065591,1,1,Offer E,Yes,No,Yes,Fiber Optic,30.0,No,No,No,No,No,Yes,Month-to-Month,Mailed Check,70.45,70.45,0.0,0,85.73,Churned,Don't know
0404-SWRVG,Male,21,No,2,La Habra,33.940619,-117.9513,0,3,Offer E,Yes,Yes,Yes,Fiber Optic,71.0,No,No,No,No,Yes,Yes,Month-to-Month,Bank Withdrawal,74.4,229.55,8.74,0,264.61,Churned,Product dissatisfaction
0406-BPDVR,Female,75,Yes,0,Visalia,36.303793,-119.375646,0,54,Offer B,Yes,Yes,Yes,Fiber Optic,8.0,No,Yes,Yes,Yes,Yes,Yes,One Year,Credit Card,101.5,5373.1,0.0,0,7181.56,Churned,Lack of affordable download/upload speed
0415-MOSGF,Female,58,No,0,Los Gatos,37.222842,-121.988727,0,1,Offer E,Yes,No,Yes,DSL,30.0,No,No,No,No,No,Yes,Month-to-Month,Credit Card,44.4,44.4,0.0,0,70.93,Churned,Attitude of support person
0475-RIJEP,Male,47,No,0,Pinecrest,38.224869,-119.755729,0,43,Offer B,Yes,Yes,Yes,Fiber Optic,25.0,No,Yes,No,No,No,Yes,Month-to-Month,Bank Withdrawal,77.85,3365.85,0.0,0,5478.44,Churned,Lack of affordable download/upload speed
0511-JTEOY,Female,41,No,0,Canyon Dam,40.171312,-121.120605,0,1,Offer E,Yes,No,Yes,Fiber Optic,9.0,No,No,No,No,No,Yes,Month-to-Month,Mailed Check,71.1,71.1,0.0,0,81.29,Churned,Competitor made better offer
0524-IAVZO,Female,25,Yes,0,Anza,33.527605,-116.666551,1,30,Offer C,Yes,Yes,Yes,Fiber Optic,41.0,No,No,No,Yes,Yes,Yes,Month-to-Month,Bank Withdrawal,85.0,2624.25,0.0,0,2768.85,Churned,Don't know
0529-ONKER,Male,70,No,0,Forest Ranch,40.077028,-121.494168,0,15,Offer D,Yes,Yes,Yes,Fiber Optic,19.0,No,No,No,No,No,Yes,Month-to-Month,Bank Withdrawal,75.65,1146.65,0.0,0,1842.35,Churned,Attitude of support person
0533-BNWKF,Female,66,Yes,0,San Diego,32.85723,-117.209774,2,55,Offer B,Yes,Yes,Yes,Fiber Optic,27.0,No,Yes,No,No,No,No,Month-to-Month,Bank Withdrawal,85.45,4874.7,0.0,90,7319.8,Churned,Competitor made better offer
0565-IYCGT,Male,51,No,0,San Diego,32.825086,-117.199424,0,69,Offer A,Yes,Yes,Yes,DSL,9.0,Yes,Yes,No,Yes,Yes,Yes,One Year,Credit Card,78.6,5356.45,0.0,0,7383.67,Churned,Competitor made better offer
0611-DFXKO,Male,35,Yes,0,Comptche,39.239818,-123.565432,1,20,Offer D,Yes,No,Yes,Fiber Optic,5.0,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Credit Card,89.0,1820.45,0.0,0,2181.45,Churned,Service dissatisfaction
0618-XWMSS,Male,60,No,0,Wasco,35.652242,-119.4464,0,28,Offer C,Yes,No,Yes,Fiber Optic,5.0,Yes,No,No,No,No,Yes,Month-to-Month,Bank Withdrawal,74.9,2068.55,0.0,0,3308.39,Churned,Long distance charges
0621-TWIEM,Male,28,No,0,Newhall,34.370378,-118.504118,0,10,Offer D,Yes,No,Yes,Cable,69.0,No,No,No,No,Yes,Yes,Month-to-Month,Bank Withdrawal,45.55,402.6,0.0,0,747.0,Churned,Attitude of support person
0637-KVDLV,Male,30,No,0,Elk Grove,38.35363,-121.44195,0,2,Offer E,Yes,Yes,Yes,Fiber Optic,30.0,No,No,No,No,No,Yes,Month-to-Month,Bank Withdrawal,76.5,162.45,0.0,0,196.89,Churned,Don't know
0637-UBJRP,Male,40,Yes,0,Wilton,38.392559,-121.225093,5,13,Offer D,Yes,No,Yes,Fiber Optic,21.0,Yes,No,No,Yes,Yes,Yes,Month-to-Month,Bank Withdrawal,84.05,1095.3,23.97,0,1460.29,Churned,Competitor offered higher download speeds
0637-YLETY,Female,39,No,0,Douglas City,40.586588,-122.903677,0,16,Offer D,Yes,Yes,Yes,Fiber Optic,30.0,No,Yes,No,Yes,Yes,Yes,Month-to-Month,Credit Card,95.6,1555.65,0.0,0,1859.49,Churned,Attitude of service provider
0639-TSIQW,Female,28,No,0,White Water,33.972293,-116.654195,0,67,Offer A,Yes,Yes,Yes,Fiber Optic,30.0,Yes,Yes,Yes,No,No,Yes,Month-to-Month,Credit Card,102.95,6886.25,0.0,0,9398.75,Churned,Competitor offered more data
0654-HMSHN,Male,45,Yes,0,Mojave,35.097323,-118.171288,1,21,Offer D,Yes,Yes,Yes,Fiber Optic,3.0,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Bank Withdrawal,104.4,2157.95,0.0,0,3053.6,Churned,Attitude of support person
0655-RBDUG,Male,32,No,0,Alviso,37.449537,-121.994813,0,7,Offer E,Yes,Yes,Yes,Fiber Optic,29.0,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Bank Withdrawal,98.05,713.0,0.0,0,777.75,Churned,Competitor had better devices
0685-MLYYM,Female,74,No,0,Buena Park,33.845706,-118.012204,0,2,Offer E,Yes,No,Yes,Fiber Optic,21.0,No,No,No,No,No,Yes,Month-to-Month,Bank Withdrawal,70.75,154.85,0.0,0,174.57,Churned,Long distance charges
0687-ZVTHB,Male,24,Yes,0,Richmond,37.941456,-122.320968,1,65,Offer B,Yes,Yes,Yes,Cable,51.0,Yes,Yes,No,Yes,Yes,Yes,One Year,Credit Card,72.45,4653.85,14.23,0,6378.37,Churned,Competitor offered more data
0689-NKYLF,Male,42,No,0,Los Angeles,34.002028,-118.430656,0,13,Offer D,Yes,No,Yes,Fiber Optic,18.0,No,No,Yes,No,No,Yes,Month-to-Month,Bank Withdrawal,83.2,1060.6,0.0,0,1520.8,Churned,Attitude of support person
0702-PGIBZ,Male,28,No,0,Dutch Flat,39.197215,-120.83679,0,4,Offer E,Yes,Yes,Yes,Fiber Optic,85.0,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Bank Withdrawal,101.7,364.55,1.48,0,467.71,Churned,Competitor made better offer
0719-SYFRB,Female,52,No,0,Norco,33.925833,-117.559639,0,12,Offer D,Yes,Yes,Yes,DSL,30.0,Yes,No,No,No,No,Yes,Month-to-Month,Mailed Check,61.65,713.75,0.0,0,1148.63,Churned,Competitor offered higher download speeds
0727-IWKVK,Male,35,Yes,0,Yermo,35.013299,-116.834092,0,9,Offer E,Yes,No,Yes,Fiber Optic,27.0,No,Yes,No,No,No,Yes,Month-to-Month,Bank Withdrawal,79.9,741.7,0.0,0,914.32,Churned,Extra data charges
0742-NXBGR,Female,64,No,0,Adin,41.171578,-120.913161,0,1,Offer E,Yes,No,Yes,Fiber Optic,28.0,No,Yes,No,No,No,Yes,Month-to-Month,Bank Withdrawal,82.3,82.3,0.0,0,115.71,Churned,Competitor had better devices
0772-GYEQQ,Male,33,No,0,Lodi,38.123544,-121.159078,0,3,Offer E,Yes,No,Yes,Fiber Optic,10.0,No,No,Yes,No,No,Yes,Month-to-Month,Credit Card,88.35,262.05,0.0,0,410.25,Churned,Competitor offered more data
0807-ZABDG,Female,43,No,2,Woodland,38.694081,-121.694431,0,3,Offer E,Yes,No,Yes,Cable,16.0,Yes,No,No,No,No,Yes,Month-to-Month,Mailed Check,55.1,154.65,0.0,0,232.77,Churned,Competitor offered higher download speeds
0812-WUPTB,Male,65,Yes,0,Corona Del Mar,33.600987,-117.862734,1,1,Offer E,Yes,No,Yes,Fiber Optic,13.0,No,No,No,No,No,Yes,Month-to-Month,Credit Card,70.85,70.85,0.0,0,120.45,Churned,Long distance charges
0866-QLSIR,Female,53,No,0,Garden Grove,33.764018,-117.931507,0,34,Offer C,Yes,Yes,Yes,DSL,4.0,Yes,Yes,No,No,No,Yes,One Year,Mailed Check,64.4,2088.75,0.0,0,3258.69,Churned,Attitude of support person
0870-VEMYL,Female,34,No,0,Columbia,38.085839,-120.37855,0,5,Offer E,Yes,No,Yes,Cable,22.0,Yes,No,No,No,No,No,Month-to-Month,Credit Card,53.85,259.8,22.96,10,368.44,Churned,Competitor offered higher download speeds
0876-WDUUZ,Female,62,No,0,Pine Grove,38.400264,-120.641274,0,5,Offer E,Yes,No,Yes,Fiber Optic,17.0,No,No,No,Yes,Yes,Yes,Month-to-Month,Credit Card,85.4,425.9,0.0,0,643.45,Churned,Long distance charges
0880-TKATG,Male,21,Yes,0,Lucerne Valley,34.508417,-116.856103,3,4,Offer E,Yes,Yes,Yes,Fiber Optic,48.0,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Bank Withdrawal,101.15,385.9,0.0,0,424.14,Churned,Competitor had better devices
0887-HJGAR,Male,57,No,0,Coalinga,36.186867,-120.387793,0,1,Offer E,Yes,No,Yes,DSL,13.0,No,No,No,No,No,Yes,Month-to-Month,Mailed Check,45.7,45.7,0.0,0,51.25,Churned,Competitor offered higher download speeds
0897-FEGMU,Female,43,Yes,0,Los Angeles,34.072945,-118.37267,1,11,Offer D,Yes,Yes,Yes,Fiber Optic,26.0,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Bank Withdrawal,99.5,1056.95,0.0,0,1398.83,Churned,Network reliability
0923-PNFUB,Female,55,No,0,Westlake Village,34.130992,-118.894673,0,3,Offer E,Yes,No,Yes,Fiber Optic,4.0,No,Yes,Yes,No,No,Yes,Month-to-Month,Bank Withdrawal,83.75,247.25,0.0,0,386.33,Churned,Attitude of support person
0927-LCSMG,Male,23,No,0,San Jose,37.305622,-122.000887,0,7,Offer E,Yes,No,Yes,Fiber Optic,71.0,No,No,No,No,Yes,No,Month-to-Month,Mailed Check,74.65,544.55,0.0,10,705.61,Churned,Competitor offered more data
0939-YAPAF,Female,44,No,0,Santa Ana,33.748478,-117.858918,0,35,Offer C,Yes,Yes,Yes,Fiber Optic,17.0,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Bank Withdrawal,100.25,3527.6,0.0,0,3894.75,Churned,Competitor offered higher download speeds
0940-OUQEC,Male,54,No,0,Winters,38.578604,-122.024579,0,10,Offer D,Yes,Yes,Yes,Fiber Optic,3.0,No,Yes,No,No,No,No,Month-to-Month,Bank Withdrawal,80.7,788.8,38.42,50,971.08,Churned,Competitor offered more data
0946-CLJTI,Male,67,Yes,0,Palmdale,34.613476,-118.256358,1,58,Offer B,Yes,Yes,Yes,Fiber Optic,5.0,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Bank Withdrawal,98.7,5812.6,0.0,0,5997.04,Churned,Competitor had better devices
0968-GSIKN,Female,23,No,0,Thousand Palms,33.849263,-116.382778,0,1,Offer E,Yes,No,Yes,Fiber Optic,27.0,No,No,No,No,Yes,Yes,Month-to-Month,Mailed Check,70.8,70.8,0.0,0,101.4,Churned,Competitor made better offer
0970-ETWGE,Male,38,No,0,Bodfish,35.523991,-118.400432,0,1,Offer E,Yes,No,Yes,Cable,27.0,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Bank Withdrawal,89.55,89.55,0.0,0,132.01,Churned,Competitor had better devices
0979-PHULV,Male,30,Yes,0,San Diego,32.85723,-117.209774,2,69,Offer A,Yes,Yes,Yes,Fiber Optic,26.0,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Credit Card,99.45,7007.6,0.0,0,10374.8,Churned,Competitor made better offer
1010-DIAUQ,Male,54,No,0,San Diego,32.85723,-117.209774,0,5,Offer E,Yes,No,Yes,Fiber Optic,8.0,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Bank Withdrawal,96.5,492.55,0.0,0,596.85,Churned,Competitor made better offer
1024-VRZHF,Male,39,Yes,0,San Diego,32.825086,-117.199424,1,11,Offer D,Yes,Yes,Yes,Fiber Optic,30.0,No,No,No,No,No,Yes,Month-to-Month,Bank Withdrawal,-7.0,825.7,0.0,0,1063.08,Churned,Competitor made better offer
1031-IIDEO,Female,51,No,0,Sierra City,39.600599,-120.636358,0,1,Offer E,Yes,No,Yes,Fiber Optic,23.0,No,No,No,No,No,Yes,Month-to-Month,Bank Withdrawal,70.85,70.85,0.0,0,97.9,Churned,Network reliability
1084-UQCHV,Male,35,No,0,Angelus Oaks,34.1678,-116.86433,0,1,Offer E,Yes,No,Yes,Fiber Optic,18.0,No,No,No,No,No,Yes,Month-to-Month,Bank Withdrawal,-7.0,69.75,0.0,0,97.72,Churned,Attitude of support person
1086-LXKFY,Female,46,Yes,0,Westwood,40.271535,-121.018087,1,1,Offer E,Yes,No,Yes,Fiber Optic,19.0,No,No,No,No,No,Yes,Month-to-Month,Credit Card,69.1,69.1,0.0,0,85.65,Churned,Don't know
1112-CUNAO,Female,67,No,0,Grimes,39.033058,-121.895718,0,15,Offer D,Yes,Yes,Yes,Fiber Optic,6.0,No,Yes,No,Yes,No,Yes,Month-to-Month,Bank Withdrawal,89.85,1424.95,0.0,0,1489.15,Churned,Service dissatisfaction
1120-BMWUB,Female,36,No,0,Los Angeles,33.987945,-118.370442,0,16,Offer D,Yes,No,Yes,DSL,8.0,No,Yes,No,No,No,No,Month-to-Month,Credit Card,53.9,834.15,0.0,40,983.91,Churned,Don't know
1157-BQCUW,Male,59,No,0,Fall River Mills,41.017282,-121.468945,0,1,Offer E,Yes,Yes,Yes,Fiber Optic,26.0,No,No,No,No,No,Yes,Month-to-Month,Bank Withdrawal,74.95,74.95,0.0,0,105.02,Churned,Competitor had better devices
1195-OIYEJ,Male,54,No,0,La Puente,34.038983,-117.991372,0,13,Offer D,Yes,No,Yes,Fiber Optic,26.0,No,No,Yes,Yes,Yes,No,Month-to-Month,Bank Withdrawal,91.1,1135.7,0.0,80,1286.29,Churned,Attitude of support person
1205-WNWPJ,Female,54,No,0,Lakehead,40.883853,-122.418258,0,7,Offer E,Yes,No,Yes,DSL,22.0,No,No,Yes,No,No,Yes,Month-to-Month,Credit Card,59.5,415.95,0.0,0,431.63,Churned,Moved
1213-NGCUN,Female,49,No,0,San Diego,32.805518,-117.169052,0,6,Offer E,Yes,No,Yes,DSL,22.0,No,No,No,No,No,Yes,Month-to-Month,Bank Withdrawal,49.65,267.35,0.0,0,560.69,Churned,Lack of self-service on Website
1226-UDFZR,Female,26,No,0,Lafayette,37.907777,-122.127161,0,2,Offer E,Yes,No,Yes,Cable,26.0,No,Yes,No,No,No,Yes,Month-to-Month,Credit Card,49.6,114.7,0.0,0,157.26,Churned,Network reliability
1260-TTRXI,Male,64,No,0,Planada,37.329725,-120.306399,0,4,Offer E,Yes,No,Yes,DSL,19.0,No,No,No,Yes,Yes,No,Month-to-Month,Bank Withdrawal,54.3,195.3,0.0,80,435.9,Churned,Long distance charges
1262-OPMFY,Female,46,Yes,0,San Diego,32.957195,-117.202542,1,9,Offer E,Yes,No,Yes,Fiber Optic,25.0,No,No,No,No,No,Yes,Month-to-Month,Bank Withdrawal,75.75,655.9,0.0,0,941.65,Churned,Competitor made better offer
1264-BYWMS,Male,40,No,0,La Grange,37.666587,-120.411517,0,55,Offer B,Yes,Yes,Yes,Fiber Optic,29.0,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Bank Withdrawal,96.8,5283.95,0.0,0,7889.85,Churned,Competitor offered more data
1268-ASBGA,Female,66,Yes,0,Huntington Park,33.97803,-118.217141,1,16,Offer D,Yes,Yes,Yes,Fiber Optic,27.0,No,No,No,Yes,No,Yes,Month-to-Month,Credit Card,85.35,1375.15,0.0,0,1534.03,Churned,Limited range of services
1304-NECVQ,Female,69,No,0,Somis,34.297628,-119.014627,0,2,Offer E,Yes,Yes,Yes,Fiber Optic,14.0,No,No,No,No,No,Yes,Month-to-Month,Bank Withdrawal,78.55,149.55,0.0,0,237.47,Churned,Competitor made better offer
1309-BXVOQ,Male,27,Yes,0,Old Station,40.656287,-121.428965,1,21,Offer D,Yes,Yes,Yes,Fiber Optic,59.0,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Bank Withdrawal,106.1,2249.95,0.0,0,2708.38,Churned,Long distance charges
1320-HTRDR,Female,30,No,0,Fellows,35.215731,-119.57013,0,3,Offer E,Yes,Yes,Yes,Fiber Optic,85.0,No,No,No,No,No,Yes,Month-to-Month,Bank Withdrawal,75.5,220.6,0.0,0,363.13,Churned,Attitude of service provider
1324-NLTJE,Female,73,No,0,Emeryville,37.83726,-122.287648,0,15,Offer D,Yes,Yes,Yes,DSL,19.0,No,No,No,No,No,Yes,Month-to-Month,Credit Card,55.0,757.1,0.0,0,1014.95,Churned,Don't know
1342-JPNKI,Male,33,No,0,Lake Forest,33.644849,-117.684254,0,10,Offer D,Yes,Yes,Yes,Fiber Optic,11.0,No,No,Yes,No,No,Yes,Month-to-Month,Bank Withdrawal,86.05,834.1,0.0,0,893.3,Churned,Don't know
1363-TXLSL,Male,80,Yes,0,San Lucas,36.125529,-120.864443,0,1,Offer E,Yes,No,Yes,Fiber Optic,27.0,No,No,No,No,No,Yes,Month-to-Month,Bank Withdrawal,70.3,70.3,0.0,0,109.4,Churned,Competitor had better devices
1373-ORVIZ,Female,62,Yes,0,Modesto,37.621458,-121.012295,1,11,Offer D,Yes,Yes,Yes,DSL,12.0,No,No,No,Yes,Yes,Yes,Month-to-Month,Bank Withdrawal,66.35,740.8,0.0,0,913.39,Churned,Competitor had better devices
1374-DMZUI,Female,65,No,0,San Ramon,37.766556,-121.976784,0,4,Offer E,Yes,Yes,Yes,Fiber Optic,23.0,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Bank Withdrawal,94.3,424.45,0.0,0,622.45,Churned,Competitor made better offer
1389-CXMLU,Male,65,No,0,Downey,33.921793,-118.140588,0,3,Offer E,Yes,Yes,Yes,Fiber Optic,8.0,No,No,Yes,No,No,Yes,Month-to-Month,Bank Withdrawal,91.05,289.1,0.0,0,368.06,Churned,Competitor made better offer
1415-YFWLT,Female,68,No,0,Shaver Lake,37.223,-119.001021,0,1,Offer E,Yes,No,Yes,Fiber Optic,30.0,No,No,Yes,Yes,No,Yes,Month-to-Month,Bank Withdrawal,89.3,89.3,0.0,0,119.53,Churned,Competitor had better devices
1444-VVSGW,Male,51,Yes,0,Los Molinos,40.059385,-122.091481,1,70,Offer A,Yes,Yes,Yes,Fiber Optic,20.0,Yes,Yes,Yes,Yes,Yes,No,One Year,Credit Card,115.65,7968.85,0.0,10,9180.75,Churned,Product dissatisfaction
1448-PWKYE,Male,48,Yes,0,Shafter,35.490705,-119.286833,1,1,Offer E,Yes,No,Yes,Cable,3.0,No,No,No,Yes,Yes,Yes,Month-to-Month,Bank Withdrawal,80.0,80.0,0.0,0,115.71,Churned,Competitor had better devices
1455-UGQVH,Male,35,Yes,0,Acampo,38.200231,-121.235034,1,10,Offer D,Yes,Yes,Yes,Fiber Optic,18.0,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Bank Withdrawal,98.5,1037.75,0.0,0,1048.65,Churned,Lack of self-service on Website
1502-XFCVR,Female,57,No,0,Los Angeles,34.088017,-118.327168,0,58,Offer B,Yes,No,Yes,Fiber Optic,12.0,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Bank Withdrawal,106.45,6145.85,0.0,0,7015.27,Churned,Competitor offered higher download speeds
1513-XNPPH,Female,36,No,0,Los Angeles,34.002642,-118.287596,0,12,Offer D,Yes,No,Yes,Fiber Optic,9.0,No,No,No,Yes,Yes,Yes,Month-to-Month,Bank Withdrawal,89.4,1095.65,0.0,0,1305.17,Churned,Product dissatisfaction
1518-VOWAV,Female,31,No,0,Fallbrook,33.362575,-117.299644,0,9,Offer E,Yes,No,Yes,DSL,16.0,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Bank Withdrawal,74.65,703.55,0.0,0,1031.42,Churned,Competitor made better offer
1541-ETJZO,Male,58,No,0,Wheatland,39.043387,-121.409837,0,1,Offer E,Yes,Yes,Yes,DSL,12.0,No,No,No,No,No,No,Month-to-Month,Mailed Check,62.05,62.05,0.0,10,119.88,Churned,Moved
1555-DJEQW,Female,21,Yes,0,Cupertino,37.306612,-122.080621,1,70,Offer A,Yes,Yes,Yes,Fiber Optic,48.0,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Bank Withdrawal,114.2,7723.9,48.54,0,8849.96,Churned,Price too high
1579-KLYDT,Male,31,No,0,Hickman,37.605926,-120.69955,0,7,Offer E,Yes,Yes,Yes,Fiber Optic,27.0,No,No,Yes,No,No,Yes,Month-to-Month,Bank Withdrawal,90.45,593.45,0.0,0,844.82,Churned,Competitor made better offer
1582-RAFML,Male,26,No,0,Sacramento,38.625096,-121.383658,0,1,Offer E,Yes,Yes,Yes,Cable,85.0,No,Yes,No,No,No,Yes,Month-to-Month,Mailed Check,60.1,60.1,0.0,0,83.73,Churned,Competitor had better devices
1585-MQSSU,Male,36,No,0,Santa Rosa,38.526941,-122.709096,0,17,Offer D,Yes,No,Yes,Cable,2.0,No,No,No,No,No,Yes,Month-to-Month,Mailed Check,51.5,900.5,35.34,0,1657.36,Churned,Lack of self-service on Website
1587-FKLZB,Male,79,Yes,0,Santa Barbara,34.419203,-119.710008,1,66,Offer A,Yes,Yes,Yes,Fiber Optic,25.0,No,No,Yes,Yes,No,Yes,Month-to-Month,Credit Card,99.5,6822.15,0.0,0,8726.91,Churned,Competitor had better devices
