,currentRanking,userId,displayName,userUrl,joinDate,tier,totalGoldMedals,totalSilverMedals,totalBronzeMedals,points
40,41,67483,K Scott Mader,/kmader,2012-11-04,GRANDMASTER,6,7,21,261
41,42,8392179,kukuroo3,/kukuroo3,2021-09-20,EXPERT,0,5,19,259
42,43,8833583,M Yasser H,/yasserh,2021-11-09,EXPERT,1,1,20,255
43,44,4920916,Batucan Senkal,/psycon,2020-04-20,EXPERT,0,5,15,254
44,45,5276687,Rishi Damarla,/rishidamarla,2020-06-10,EXPERT,0,1,65,240
45,46,3442866,Bala Baskar,/balabaskar,2019-07-09,MASTER,1,5,2,239
46,47,10465213,hrterhrter,/programmerrdai,2022-05-07,EXPERT,0,0,24,238
47,48,395512,Esther Kim,/ekim01,2015-08-04,GRANDMASTER,5,6,13,236
48,49,5270083,Akash Patel,/imakash3011,2020-06-09,MASTER,1,4,0,236
49,50,3564129,Andrada Olteanu,/andradaolteanu,2019-08-09,MASTER,2,6,18,232
50,51,9028,DanB,/dansbecker,2011-04-06,MASTER,3,4,9,227
51,52,4432707,Kalilur Rahman,/kalilurrahman,2020-02-04,EXPERT,0,0,25,226
52,53,1611072,Omer Colakoglu,/omercolakoglu,2018-02-05,MASTER,4,2,2,221
53,54,4331575,Dhruvil Dave,/dhruvildave,2020-01-15,MASTER,2,9,7,213
54,55,1014468,Heads or Tails,/headsortails,2017-04-09,MASTER,4,3,3,212
55,56,8877089,hemil26,/hemil26,2021-11-13,MASTER,3,3,0,212
56,57,4760409,Gaurav Dutta,/gauravduttakiit,2020-03-28,EXPERT,0,2,12,205
57,58,5337747,Moore,/imoore,2020-06-20,MASTER,3,6,2,202
58,59,861427,Petro,/piterfm,2017-01-09,EXPERT,1,0,7,199
59,60,5020133,Vivo Vinco,/vivovinco,2020-05-04,EXPERT,0,2,20,183
60,61,8438634,John Harshith,/johnharshith,2021-09-25,MASTER,1,4,2,182
61,62,7168168,Azmine Toushik Wasi,/azminetoushikwasi,2021-04-12,EXPERT,0,5,7,179
62,63,195475,Bill Cruise,/bcruise,2014-05-14,EXPERT,0,0,22,175
63,64,2681031,Brenda N,/brendan45774,2019-01-07,MASTER,2,5,8,173
64,65,2036,Konrad Banachewicz,/konradb,2010-08-03,EXPERT,0,3,27,172
65,66,3575309,Nicholas Broad,/nbroad,2019-08-13,EXPERT,1,1,9,168
66,67,1549225,Andre Sionek,/andresionek,2018-01-13,EXPERT,1,1,1,166
67,68,10072866,Murat KOKLU,/muratkokludataset,2022-03-28,EXPERT,1,2,5,166
68,69,863388,PromptCloud,/promptcloud,2017-01-11,MASTER,1,4,26,165
69,70,927562,Rounak Banik,/rounakbanik,2017-02-23,EXPERT,3,0,0,162
70,71,2533892,Gerry,/gpiosenka,2018-11-24,EXPERT,1,1,7,162
71,72,1134944,Ankan Hore,/ankanhore545,2017-06-21,EXPERT,0,1,15,159
72,73,1160522,dataista0 (Julián Peller),/julian3833,2017-07-09,EXPERT,1,2,8,158
73,74,4034364,Muhammed Tausif,/muhammedtausif,2019-11-14,EXPERT,0,3,10,158
74,75,3650837,Mehmet Akturk,/mathchi,2019-09-01,MASTER,2,9,2,155
75,76,1798416,Vitalii Mokin,/vbmokin,2018-04-07,MASTER,1,9,9,153
76,77,2504634,Edward Zhang,/sshikamaru,2018-11-17,MASTER,1,5,6,153
77,78,1636313,Darien Schettler,/dschettler8845,2018-02-14,EXPERT,0,1,12,151
78,79,2103971,Michal Bogacz,/michau96,2018-07-27,EXPERT,1,0,16,151
79,80,4124088,Ahmed Shahriar Sakib,/ahmedshahriarsakib,2019-11-29,EXPERT,0,7,1,151
80,81,5154008,Ashfak Yeafi,/ashfakyeafi,2020-05-24,EXPERT,0,5,1,150
81,82,6245640,Subham Surana,/subhamjain,2020-11-25,MASTER,2,4,4,150
82,83,753574,Aleksey Bilogur,/residentmario,2016-10-15,MASTER,3,4,18,145
83,84,1695531,Y.Nakama,/yasufuminakama,2018-03-06,EXPERT,2,1,6,144
84,85,2248093,Quadeer Shaikh,/quadeer15sh,2018-09-14,EXPERT,0,6,1,144
85,86,1430847,Kash,/kaushiksuresh147,2017-11-19,MASTER,1,4,14,143
86,87,4697476,Victor Soeiro,/victorsoeiro,2020-03-19,EXPERT,1,0,12,143
87,88,2332181,Firat Gonen,/frtgnn,2018-10-07,GRANDMASTER,5,6,1,142
88,89,4163969,Arjun Prasad Sarkhel,/arjunprasadsarkhel,2019-12-06,EXPERT,1,0,5,142
89,90,360751,JohnM,/jpmiller,2015-05-31,MASTER,2,5,11,140
90,91,4631534,S H I N I G A M I,/gargmanas,2020-03-08,MASTER,2,3,5,140
91,92,6990402,mysar ahmad bhat,/mysarahmadbhat,2021-03-21,EXPERT,0,2,22,140
92,93,178864,Yury Kashnitsky,/kashnitsky,2014-03-27,EXPERT,2,0,4,134
93,94,1130103,Arpit Verma,/varpit94,2017-06-17,EXPERT,0,0,29,133
94,95,1302389,Devakumar K. P.,/imdevskp,2017-09-30,MASTER,2,5,4,129
95,96,5882083,Arsh Anwar,/d4rklucif3r,2020-10-03,EXPERT,0,5,5,129
96,97,8893519,Sandra Grace Nelson,/sandragracenelson,2021-11-15,EXPERT,0,3,2,128
97,98,618942,KUCEV ROMAN,/tapakah68,2016-05-20,EXPERT,0,1,15,125
98,99,7652624,Anas Mahmood,/anasmahmood000,2021-06-11,EXPERT,0,3,3,124
99,100,1920818,Prashant Banerjee,/prashant111,2018-05-17,MASTER,5,4,8,123
100,101,391404,Parul Pandey,/parulpandey,2015-07-26,MASTER,2,5,10,120
101,102,4698936,Ajaypal Singh,/ajaypalsinghlo,2020-03-19,EXPERT,1,0,2,119
102,103,4969123,Yamac Eren Ay,/yamaerenay,2020-04-27,EXPERT,0,0,5,119
103,104,9352946,Alan Jo,/alanjo,2022-01-08,EXPERT,0,0,13,118
104,105,1842206,BwandoWando,/bwandowando,2018-04-20,EXPERT,0,1,9,117
105,106,5472192,Tejashvi,/tejashvi14,2020-07-15,MASTER,1,4,2,117
106,107,7237430,Jillani Soft Tech,/jillanisofttech,2021-04-21,EXPERT,0,0,16,116
107,108,5447474,Vahideh Dashti,/vahidehdashti,2020-07-10,EXPERT,0,5,0,114
108,109,7852923,Sanjeet Singh Naik,/sanjeetsinghnaik,2021-07-07,EXPERT,0,3,6,113
109,110,270038,Rishabh Misra,/rmisra,2014-12-10,EXPERT,2,1,1,112
110,111,1444085,Shashwat Tiwari,/shashwatwork,2017-11-24,EXPERT,0,2,14,111
111,112,3490494,Mario Caesar,/caesarmario,2019-07-22,EXPERT,0,4,1,111
112,113,860951,Joe Young,/jsphyg,2017-01-09,EXPERT,1,0,2,110
113,114,3618598,Hamdalla  F. Kareem,/hamdallak,2019-08-24,MASTER,1,5,0,109
114,115,6700236,Robin S.,/heyrobin,2021-02-10,EXPERT,0,4,2,108
115,116,4476084,Jesse Mostipak,/jessemostipak,2020-02-11,EXPERT,1,1,7,107
116,117,623370,Takoi,/takoihiraokazu,2016-05-24,EXPERT,0,4,7,106
117,118,3885917,Neha Prabhavalkar,/nehaprabhavalkar,2019-10-19,EXPERT,2,2,5,106
118,119,8003977,Luiz Bueno,/juniorbueno,2021-07-28,EXPERT,0,5,3,106
119,120,8273845,Durgesh Rao,/durgeshrao9993,2021-09-03,EXPERT,0,0,18,106
120,121,554091,Nikita Kozodoi,/kozodoi,2016-03-11,EXPERT,1,1,2,105
121,122,4411217,Neel Gajare,/neelgajare,2020-01-31,EXPERT,0,0,11,105
122,123,6125196,Halime Doğan,/halimedogan,2020-11-08,EXPERT,0,4,1,105
123,124,10606723,Mustanger,/eisgandar,2022-05-21,EXPERT,0,0,11,105
124,125,3399844,Karnika Kapoor,/karnikakapoor,2019-06-27,EXPERT,0,7,0,104
125,126,3390641,Divyansh Agrawal,/divyansh22,2019-06-25,MASTER,1,7,9,102
126,127,3740202,Murilão,/upadorprofzs,2019-09-20,MASTER,6,0,0,102
127,128,7378363,Zahra Amini,/aminizahra,2021-05-09,EXPERT,0,1,8,102
128,129,1815526,Anmol Kumar,/anmolkumar,2018-04-12,EXPERT,1,1,9,101
129,130,6361330,Lasal Jayawardena,/lasaljaywardena,2020-12-11,EXPERT,0,2,12,100
130,131,7545003,Brandon Conrady,/brandonconrady,2021-05-30,EXPERT,0,0,15,100
131,132,8350476,Lexyr,/pavellexyr,2021-09-14,EXPERT,0,0,13,100
132,133,1727163,Noah Daniels,/nbdaniels,2018-03-16,EXPERT,0,6,29,99
133,134,1920073,Alex Shonenkov,/shonenkov,2018-05-17,MASTER,3,3,5,99
134,135,2029256,KS,/ks2019,2018-06-29,EXPERT,0,1,8,99
135,136,2357264,PAVAN KUMAR D,/mragpavank,2018-10-13,EXPERT,0,5,10,99
136,137,1984321,M.Innat,/ipythonx,2018-06-11,EXPERT,0,4,5,98
137,138,6097832,Andrey Shtrauss,/shtrausslearning,2020-11-04,EXPERT,0,3,5,98
138,139,9521686,efimpolianskii,/timmofeyy,2022-01-28,EXPERT,0,0,15,98
139,140,4382914,Saurav Maheshkar ☕️,/sauravmaheshkar,2020-01-25,EXPERT,0,1,9,96
140,141,5397177,CodeBreaker619,/codebreaker619,2020-07-01,EXPERT,0,5,13,96
141,142,1852232,Stefano Leone,/stefanoleone992,2018-04-24,EXPERT,1,3,4,95
142,143,10590800,Matt OP,/mattop,2022-05-19,EXPERT,0,1,8,95
143,144,2685252,Jan Bre,/jpbremer,2019-01-08,EXPERT,0,3,3,94
144,145,378285,Praveen ,/praveengovi,2015-07-05,EXPERT,2,0,5,93
145,146,5926459,Shiv Kumar Ganesh,/shivkumarganesh,2020-10-10,EXPERT,0,0,14,93
146,147,6776149,radmirkaz,/hijest,2021-02-21,EXPERT,1,3,0,93
147,148,1200915,Bulent Siyah,/bulentsiyah,2017-08-04,MASTER,1,4,11,92
148,149,2322783,Jonathan Besomi,/jonathanbesomi,2018-10-04,EXPERT,1,0,4,92
149,150,8055831,Omkar Gowda,/omkargowda,2021-08-03,EXPERT,0,3,2,92
150,151,2590110,Aman Kumar,/aestheteaman01,2018-12-07,EXPERT,0,6,4,91
151,152,3863136,Aman Miglani,/datatattle,2019-10-15,EXPERT,1,0,4,91
152,153,4051350,Carl McBride Ellis,/carlmcbrideellis,2019-11-17,EXPERT,0,3,11,91
153,154,4688022,Thomas Konstantin,/thomaskonstantin,2020-03-17,EXPERT,0,2,18,91
154,155,3244747,Raphael Fontes,/unanimad,2019-05-19,MASTER,3,2,3,90
155,156,3264446,Berkay Alan,/berkayalan,2019-05-23,EXPERT,0,3,8,90
156,157,8243135,EMİRHAN BULUT,/emirhanai,2021-08-30,EXPERT,0,0,12,90
157,158,6372737,Iron486,/die9origephit,2020-12-12,EXPERT,0,0,8,89
158,159,1056223,Ekrem Bayar,/ekrembayar,2017-05-03,EXPERT,0,7,2,88
159,160,8718389,Shubham Trivedi,/shubhamptrivedi,2021-10-27,EXPERT,0,4,0,88
160,161,9144283,Santosh Kumar,/kuchhbhi,2021-12-11,EXPERT,0,0,10,88
161,162,5944036,babyoda,/babyoda,2020-10-12,MASTER,1,5,0,87
162,163,6151869,Yash Patel,/ysthehurricane,2020-11-12,EXPERT,0,6,1,87
163,164,5133282,Ashish Jangra,/ashishjangra27,2020-05-20,EXPERT,1,1,4,86
164,165,7002548,SandhyaKrishnan02,/sandhyakrishnan02,2021-03-22,EXPERT,0,4,1,86
165,166,8739243,Samuel Cortinhas,/samuelcortinhas,2021-10-29,EXPERT,0,0,11,86
166,167,4978084,Towhidul.Tonmoy,/towhidultonmoy,2020-04-28,EXPERT,0,0,9,85
167,168,754781,BryanB,/bryanb,2016-10-16,EXPERT,1,2,9,84
168,169,3511431,Andrii Samoshyn,/mrmorj,2019-07-26,EXPERT,0,4,10,84
169,170,473234,Tawara,/ttahara,2015-11-24,MASTER,1,6,4,83
170,171,710779,Cam Nugent,/camnugent,2016-09-10,EXPERT,2,0,3,83
171,172,4581845,ammarali32,/ammarali32,2020-02-29,EXPERT,1,1,8,83
172,173,5379999,Ken Jee,/kenjee,2020-06-28,EXPERT,1,1,3,83
173,174,4804850,Remek Kinas,/remekkinas,2020-04-03,EXPERT,0,2,6,82
174,175,5821522,Sooter Saalu,/sootersaalu,2020-09-21,EXPERT,1,0,2,82
175,176,7093618,Jehan Bhathena,/jehanbhathena,2021-04-03,EXPERT,0,2,6,82
176,177,7274535,PavelBiz,/pavelbiz,2021-04-26,EXPERT,0,1,8,82
177,178,10030651,Yassir Acharki,/yacharki,2022-03-24,EXPERT,0,0,10,82
178,179,23583,Clayton Miller,/claytonmiller,2011-11-17,EXPERT,0,0,13,81
179,180,348067,Sobhan Moosavi,/sobhanmoosavi,2015-05-06,EXPERT,1,1,1,80
180,181,9093277,Amritha R J,/amritharj,2021-12-06,EXPERT,0,0,6,80
181,182,5525731,Syed Jafer,/syedjaferk,2020-07-25,EXPERT,0,0,13,79
182,183,3492504,Salman Ibne Eunus,/salmaneunus,2019-07-22,EXPERT,0,5,8,78
183,184,5256312,Arya Shah,/aryashah2k,2020-06-08,EXPERT,0,1,11,78
184,185,368,Anthony Goldbloom,/antgoldbloom,2010-01-20,EXPERT,1,3,6,77
185,186,1708419,Soheil Tehranipour,/soheiltehranipour,2018-03-10,EXPERT,0,1,7,77
186,187,3072182,Rupak Roy,/rupakroy,2019-04-11,EXPERT,0,0,10,77
187,188,5933676,Nick Kuzmenkov,/nickuzmenkov,2020-10-11,EXPERT,0,2,4,77
188,189,844176,Olga Belitskaya,/olgabelitskaya,2016-12-21,EXPERT,1,1,15,76
189,190,3335785,shivan kumar,/shivan118,2019-06-11,MASTER,1,6,1,76
190,191,4683527,Ben Roshan ,/benroshan,2020-03-17,EXPERT,1,0,3,76
191,192,7050806,Yash Goel,/goelyash,2021-03-28,EXPERT,0,2,4,76
192,193,1715390,Balraj Ashwath,/balraj98,2018-03-12,EXPERT,0,2,15,75
193,194,6785760,Sven Eschlbeck,/sveneschlbeck,2021-02-22,EXPERT,0,0,13,75
194,195,9040825,Midhun Das L,/midhundasl,2021-11-30,EXPERT,0,2,2,75
195,196,9742946,Qusay AL-Btoush,/qusaybtoush1990,2022-02-22,EXPERT,0,0,6,75
196,197,548996,tito,/its7171,2016-03-06,EXPERT,2,1,3,74
197,198,1314864,torch,/rhtsingh,2017-10-05,EXPERT,0,3,5,74
198,199,1498852,kkiller,/kneroma,2017-12-15,EXPERT,0,4,8,74
199,200,2333706,Aung Pyae,/aungpyaeap,2018-10-08,EXPERT,2,0,1,74
200,201,4184718,Sparsh Gupta,/imsparsh,2019-12-10,EXPERT,1,0,7,74
201,202,1878632,Leo0523,/hattan0523,2018-05-03,EXPERT,0,0,8,73
202,203,2034098,Slawek Biel,/slawekbiel,2018-07-01,EXPERT,1,1,4,73
203,204,4333519,Yasir Hussein Shakir,/yasserhessein,2020-01-15,EXPERT,0,0,11,73
204,205,6374616,Arya krishnan A R,/aryakrishnanar,2020-12-13,EXPERT,0,5,0,73
205,206,7524543,DataCluster Labs,/dataclusterlabs,2021-05-27,EXPERT,0,0,4,73
206,207,1313949,Yaroslav Isaienkov,/ihelon,2017-10-05,EXPERT,1,0,5,72
207,208,6549244,Emmanuel F. Werr,/emmanuelfwerr,2021-01-19,EXPERT,0,0,6,72
208,209,7941831,Rahil Parikh,/rprkh15,2021-07-20,EXPERT,0,0,6,72
209,210,451025,Henrique Mendonça,/hmendonca,2015-10-26,EXPERT,1,0,5,71
210,211,1900190,Komal Khetlani,/komalkhetlani,2018-05-10,EXPERT,0,1,13,70
211,212,2815958,datartist,/kimjihoo,2019-02-14,EXPERT,1,0,3,69
212,213,731385,Ed King,/kinguistics,2016-09-28,MASTER,3,3,12,68
213,214,1212661,Iafoss,/iafoss,2017-08-12,MASTER,1,5,5,68
214,215,5444725,l3LlFF,/l3llff,2020-07-10,EXPERT,0,0,7,68
215,216,5630044,Rajkumar Lakshmanamoorthy,/rajkumarl,2020-08-16,EXPERT,1,0,5,68
216,217,7471880,Ayessa,/ayessa,2021-05-21,EXPERT,0,1,4,68
217,218,291298,RDizzl3,/rdizzl3,2015-02-08,EXPERT,0,3,3,67
218,219,2655536,Jims Chacko,/jimschacko,2018-12-28,EXPERT,0,0,7,67
219,220,3595464,Caesar Lupum,/caesarlupum,2019-08-18,EXPERT,0,6,4,67
220,221,6328369,AM,/amandam1,2020-12-06,EXPERT,0,0,11,67
221,222,9455601,CHEN Han,/concyclics,2022-01-20,EXPERT,0,1,5,67
222,223,6610637,Prit Sheta,/pritsheta,2021-01-28,EXPERT,0,1,9,66
223,224,820667,Mart Jürisoo,/martj42,2016-12-02,EXPERT,1,1,1,65
224,225,1182060,DimitreOliveira,/dimitreoliveira,2017-07-23,EXPERT,0,2,13,65
225,226,2236152,Hernan Valdivieso,/hernan4444,2018-09-11,EXPERT,1,0,2,64
226,227,3445991,PavanKalyan,/pavan9065,2019-07-10,EXPERT,0,0,10,64
227,228,5181162,ProgrammerRDAI,/ranugadisansagamage,2020-05-28,EXPERT,0,0,4,64
228,229,8859329,Vishesh Thakur,/vishesh1412,2021-11-11,EXPERT,0,0,7,64
229,230,270995,Anna Wolak,/annawolak,2014-12-12,MASTER,3,4,7,63
230,231,674553,ilovescience,/tanlikesmath,2016-07-29,EXPERT,1,1,1,63
231,232,1746215,Atul Anand {Jha},/atulanandjha,2018-03-22,MASTER,2,3,0,63
232,233,2781854,Kamal Das,/kmldas,2019-02-05,EXPERT,0,0,11,63
233,234,4562457,Lonnie,/lonnieqin,2020-02-26,EXPERT,0,1,2,63
234,235,6522159,Lucas Hohmann,/lucashohmann,2021-01-14,EXPERT,0,0,8,63
235,236,5144861,Ankit Gupta,/nkitgupta,2020-05-22,EXPERT,0,1,3,62
236,237,1311729,Austin Reese,/austinreese,2017-10-04,EXPERT,1,1,1,61
237,238,2102167,Alex Teboul,/alexteboul,2018-07-26,EXPERT,0,1,4,61
238,239,4956446,OH SEOK KIM,/ohseokkim,2020-04-25,EXPERT,0,3,1,61
239,240,858250,Ayush Garg,/ayushggarg,2017-01-06,EXPERT,1,1,1,60
240,241,5753671,Vadim Irtlach,/vad13irt,2020-09-10,EXPERT,0,0,7,60
241,242,2262596,Alexander,/alexandervc,2018-09-18,EXPERT,0,0,7,59
242,243,3758223,Seyedsaman (sam) Emami,/samanemami,2019-09-24,EXPERT,0,0,5,59
243,244,4660642,RyanJT,/ryanjt,2020-03-13,EXPERT,0,0,5,59
244,245,5560753,Rishav Sharma,/rsrishav,2020-08-01,EXPERT,1,0,5,59
245,246,9135747,Dhamodharan R,/dhamur,2021-12-10,EXPERT,0,0,8,59
246,247,2745054,Leonardo Henrique,/leonardopena,2019-01-25,EXPERT,2,0,2,58
247,248,4382651,Andy8744,/andy8744,2020-01-25,EXPERT,0,1,5,58
248,249,5532218,Sreevishnu Damodaran,/sreevishnudamodaran,2020-07-27,EXPERT,0,1,8,58
249,250,10914512,xodeum,/xodeum,2022-06-26,EXPERT,0,0,7,58
250,251,2769451,Mohaiminul Islam,/mohaiminul101,2019-02-01,EXPERT,0,5,1,57
251,252,4182566,Aayush Mishra,/aayushmishra1512,2019-12-10,EXPERT,0,2,13,57
252,253,1419792,Right Goose,/ilyaryabov,2017-11-15,EXPERT,0,0,5,56
253,254,2648923,stpete_ishii,/stpeteishii,2018-12-26,EXPERT,0,0,9,56
254,255,3300807,Chirag Desai,/cid007,2019-06-02,EXPERT,0,0,8,56
255,256,3694210,Paritosh Anand,/paritosh712,2019-09-11,EXPERT,0,0,5,56
256,257,5720392,Caleb Reigada,/calebreigada,2020-09-04,EXPERT,0,1,3,56
257,258,7140959,Khushee Kapoor,/khusheekapoor,2021-04-09,EXPERT,0,1,3,56
258,259,7995923,Naman Srivastava,/srivnaman,2021-07-27,EXPERT,0,0,6,56
259,260,10654180,The Devastator,/thedevastator,2022-05-26,EXPERT,0,1,4,56
260,261,7495018,Jatin,/jkanthony,2021-05-24,EXPERT,0,0,6,55
261,262,2796256,NoLogic,/veeralakrishna,2019-02-09,EXPERT,0,3,6,54
262,263,3802190,Devashree Madhugiri,/devsubhash,2019-10-03,EXPERT,0,1,4,54
263,264,4638489,İlker Yıldız,/ilkeryildiz,2020-03-09,EXPERT,0,4,0,54
264,265,5332545,Heeral Dedhia,/heeraldedhia,2020-06-19,EXPERT,1,1,3,54
265,266,6497788,Bhavik Ardeshna,/bhavikardeshna,2021-01-10,EXPERT,0,1,4,54
266,267,9525405,Majyhain,/majyhain,2022-01-29,EXPERT,0,2,1,54
267,268,265431,Shruti Saxena,/shrutisaxena,2014-12-01,EXPERT,0,1,5,53
268,269,576168,Aleksandr Snorkin,/parapapapam,2016-04-04,EXPERT,0,1,4,53
269,270,4574701,Faisal Qureshi,/mfaisalqureshi,2020-02-28,EXPERT,0,1,9,53
270,271,6877898,Siddharth Kulkarni,/mykeysid10,2021-03-06,EXPERT,0,1,6,53
271,272,7785819,Michael Bryant,/michaelbryantds,2021-06-28,EXPERT,0,1,4,53
272,273,1086574,vbookshelf,/vbookshelf,2017-05-22,EXPERT,1,2,5,52
273,274,2533028,prasoon kottarathil,/prasoonkottarathil,2018-11-24,EXPERT,0,3,5,52
274,275,2630863,Firuz Juraev,/firuzjuraev,2018-12-19,EXPERT,0,2,1,52
275,276,4835558,Sankha Subhra Mondal,/sankha1998,2020-04-08,EXPERT,1,3,0,52
276,277,4895752,Christian Lillelund,/christianlillelund,2020-04-16,EXPERT,1,2,5,52
277,278,6925588,Muhammad Imran Zaman,/muhammadimran112233,2021-03-12,EXPERT,0,0,6,52
278,279,7300186,blue7red,/rhythmcam,2021-04-29,EXPERT,0,0,4,52
279,280,1163019,Jacob Boysen,/jboysen,2017-07-10,MASTER,1,5,20,51
280,281,1260510,KritiDoneria,/kritidoneria,2017-09-11,EXPERT,0,0,8,51
281,282,5063402,Maher 3id,/maher3id,2020-05-11,EXPERT,0,0,8,51
282,283,7729827,Shiv28,/shiv28,2021-06-20,EXPERT,0,3,1,51
283,284,9336710,Sindhu inti,/sindhuinti,2022-01-06,EXPERT,0,0,5,51
284,285,9547290,Shantanu Dhakad,/shantanudhakadd,2022-02-01,EXPERT,0,0,4,51
285,286,10035285,Emmanuel Masavo DJEGOU,/emmanueldjegou,2022-03-24,EXPERT,0,0,5,51
286,287,10563689,linze.yu,/linzey,2022-05-17,EXPERT,0,0,7,51
287,288,10972678,iamravi,/iamravi1,2022-07-04,EXPERT,0,0,6,51
288,289,993,Ben Hamner,/benhamner,2010-05-31,MASTER,3,3,5,50
289,290,1150494,Rohit Kulkarni,/therohk,2017-07-02,EXPERT,1,2,4,50
290,291,1317613,Gianetan,/gianetan,2017-10-07,EXPERT,0,0,6,50
291,292,2487652,Edoardo Cantagallo,/edoardoba,2018-11-13,EXPERT,0,0,5,50
292,293,4534017,Zeus,/utkarshxy,2020-02-21,EXPERT,1,0,2,50
293,294,4773147,Ishant_J,/ishantj,2020-03-30,EXPERT,0,0,7,50
294,295,5044558,Owais Ahmad,/owaiskhan9654,2020-05-07,EXPERT,0,0,5,50
295,296,5659407,Jack Daoud,/jackdaoud,2020-08-21,EXPERT,1,0,3,50
296,297,6131640,Jack Ogozaly,/jackogozaly,2020-11-09,EXPERT,0,1,6,50
297,298,7975862,SAHIL VORA,/vora1011,2021-07-24,EXPERT,0,0,6,50
298,299,113660,‎‎‎‎‎‎‎‎,/hengck23,2013-07-11,EXPERT,0,1,5,49
299,300,1763348,huseyincotel,/huseyincot,2018-03-27,EXPERT,0,1,3,49
300,301,6657109,khaIid,/khaiid,2021-02-04,EXPERT,0,0,6,49
301,302,8147908,Joonas,/joonasyoon,2021-08-16,EXPERT,0,0,8,49
302,303,9465443,Abir CHakraborty,/ac1414,2022-01-22,EXPERT,0,0,3,49
303,304,10489812,Muhammad Irfan Azam,/mirfanazam,2022-05-09,EXPERT,0,0,6,49
304,305,590240,katsu1110,/code1110,2016-04-18,EXPERT,0,1,2,48
305,306,1361604,Teja Surya,/tejasurya,2017-10-26,EXPERT,0,0,5,48
